Date(timestamp),0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1396972800,29.6,31.3,23.5,22.2,25.5,28.1,30.7,33.1,47.1,76.7,60.3,62.9,54.6,53.1,57.1,54.8,53.7,66.7,77,90.7,90.1,89.3,67.1,45.8
1397059200,32.8,26.3,28.9,23.7,24.6,29.5,25,31.6,52.1,75.2,48.6,64.9,55.6,53.3,58.3,74.8,77.2,71,76,87.4,99.8,86.5,73.6,50.3
1397145600,30.8,30.5,26.6,22.8,27.6,24.3,21.2,33,55.5,74.4,58.5,67.5,59.5,57.2,62,58.1,61.7,77.2,71.3,93.2,97.5,83.2,66,57.6
1397232000,35.3,28.8,26.5,29.2,24.3,27.9,25,44.7,48.9,73.5,63.5,70.9,74.2,66.6,73.5,88.3,78.5,77.8,71,82.5,85.8,82.1,75.8,56
1397318400,34,30.8,24.4,26.3,24.9,25.6,28,38.5,43.3,71.2,62.8,77.1,75.7,77.4,67.1,65.8,72.9,76.2,71.6,82.4,88.9,82.1,73.1,47.7
1397404800,33.8,23.1,23.7,21.6,22.6,23.1,28.5,38.6,57.9,70.1,48,63.4,51.1,56.4,58.9,60.3,57.5,73.6,68.6,80.2,91.1,82.8,69.7,44.1
1397491200,30.7,28,24.7,24.2,24.3,31.6,34.1,41.2,46.2,60,50.1,70.5,63.3,56.8,59,63.2,59.4,67.2,75.9,89.9,88.3,75.8,64.5,47.7
1397577600,29.5,27.8,25.9,23.4,23.2,25.8,25.5,44,51.8,65.1,61.9,60.3,54,59.2,59,60.4,62.9,80.5,73.5,85.4,100.3,77.9,70,51
1397664000,35,27.3,27.4,23.3,22.6,27.3,33,29.1,51.9,65.8,53.1,66.3,67.1,56.8,59.1,56.2,67.2,65,68.5,85.2,88.9,87.7,60.8,47.5
1397750400,28.9,25.7,22.7,24.2,22.8,24.6,26.9,26.4,70.1,67.6,55.5,66.5,60,63.5,67.5,60.1,71.6,77.8,73.4,83.4,83.9,76.1,66.9,51
1397836800,34.4,29.8,29.1,26,22.9,25.9,31.1,32.4,51.3,66.9,63.7,58.8,65.3,70.2,65.2,72.5,79.9,68.9,72.3,99.3,93.5,87.5,69.7,47.2
1397923200,34,28.3,27.4,25.9,27.2,27.3,26,29.9,61.5,82.3,69.2,70.6,73.5,76,76.4,83.5,74.2,79.2,74.2,77.5,85.4,93,61.3,41.2
1398009600,29.9,25.8,24.4,24.2,24.9,28.2,19.1,21.8,36.9,65.1,54.8,63.9,59.4,58.8,64,67,75.7,83.1,77.8,87.1,79.1,80.4,48,42.2
1398096000,26.4,23.9,22.6,22.2,23,23.6,28.5,27.4,38,75.1,62.2,62.7,54.2,55.4,60.9,71.2,74.5,77.9,59.9,93.4,81.5,84.8,70.7,48.1
